Accuracy,Kappa,layer1,layer2,layer3,decay,Resample
0.5245901639344263,0,1,1,0,0.001,Training1000
0.5245901639344263,0,2,1,0,0.001,Training1000
0.47540983606557374,0,3,1,0,0.001,Training1000
0.47540983606557374,0,4,1,0,0.001,Training1000
0.47540983606557374,0,5,1,0,0.001,Training1000
0.5245901639344263,0,1,2,0,0.001,Training1000
0.5245901639344263,0,2,2,0,0.001,Training1000
0.47540983606557374,0,3,2,0,0.001,Training1000
0.5245901639344263,0,4,2,0,0.001,Training1000
0.5245901639344263,0,5,2,0,0.001,Training1000
0.47540983606557374,0,1,3,0,0.001,Training1000
0.5245901639344263,0,2,3,0,0.001,Training1000
0.47540983606557374,0,3,3,0,0.001,Training1000
0.5245901639344263,0,4,3,0,0.001,Training1000
0.5245901639344263,0,5,3,0,0.001,Training1000
0.5245901639344263,0,1,4,0,0.001,Training1000
0.47540983606557374,0,2,4,0,0.001,Training1000
0.5245901639344263,0,3,4,0,0.001,Training1000
0.47540983606557374,0,4,4,0,0.001,Training1000
0.47540983606557374,0,5,4,0,0.001,Training1000
0.47540983606557374,0,1,5,0,0.001,Training1000
0.47540983606557374,0,2,5,0,0.001,Training1000
0.5245901639344263,0,3,5,0,0.001,Training1000
0.47540983606557374,0,4,5,0,0.001,Training1000
0.5245901639344263,0,5,5,0,0.001,Training1000
0.47540983606557374,0,1,1,0,0.005,Training1000
0.47540983606557374,0,2,1,0,0.005,Training1000
0.5245901639344263,0,3,1,0,0.005,Training1000
0.47540983606557374,0,4,1,0,0.005,Training1000
0.5245901639344263,0,5,1,0,0.005,Training1000
0.47540983606557374,0,1,2,0,0.005,Training1000
0.47540983606557374,0,2,2,0,0.005,Training1000
0.5245901639344263,0,3,2,0,0.005,Training1000
0.5245901639344263,0,4,2,0,0.005,Training1000
0.5245901639344263,0,5,2,0,0.005,Training1000
0.47540983606557374,0,1,3,0,0.005,Training1000
0.5245901639344263,0,2,3,0,0.005,Training1000
0.5245901639344263,0,3,3,0,0.005,Training1000
0.5245901639344263,0,4,3,0,0.005,Training1000
0.5245901639344263,0,5,3,0,0.005,Training1000
0.5245901639344263,0,1,4,0,0.005,Training1000
0.5245901639344263,0,2,4,0,0.005,Training1000
0.5245901639344263,0,3,4,0,0.005,Training1000
0.47540983606557374,0,4,4,0,0.005,Training1000
0.47540983606557374,0,5,4,0,0.005,Training1000
0.5245901639344263,0,1,5,0,0.005,Training1000
0.5245901639344263,0,2,5,0,0.005,Training1000
0.47540983606557374,0,3,5,0,0.005,Training1000
0.47540983606557374,0,4,5,0,0.005,Training1000
0.47540983606557374,0,5,5,0,0.005,Training1000
0.5245901639344263,0,1,1,0,0.01,Training1000
0.47540983606557374,0,2,1,0,0.01,Training1000
0.47540983606557374,0,3,1,0,0.01,Training1000
0.5245901639344263,0,4,1,0,0.01,Training1000
0.47540983606557374,0,5,1,0,0.01,Training1000
0.47540983606557374,0,1,2,0,0.01,Training1000
0.5245901639344263,0,2,2,0,0.01,Training1000
0.5245901639344263,0,3,2,0,0.01,Training1000
0.5245901639344263,0,4,2,0,0.01,Training1000
0.5245901639344263,0,5,2,0,0.01,Training1000
0.5245901639344263,0,1,3,0,0.01,Training1000
0.5245901639344263,0,2,3,0,0.01,Training1000
0.5245901639344263,0,3,3,0,0.01,Training1000
0.47540983606557374,0,4,3,0,0.01,Training1000
0.47540983606557374,0,5,3,0,0.01,Training1000
0.47540983606557374,0,1,4,0,0.01,Training1000
0.5245901639344263,0,2,4,0,0.01,Training1000
0.5245901639344263,0,3,4,0,0.01,Training1000
0.5245901639344263,0,4,4,0,0.01,Training1000
0.5245901639344263,0,5,4,0,0.01,Training1000
0.5245901639344263,0,1,5,0,0.01,Training1000
0.5245901639344263,0,2,5,0,0.01,Training1000
0.47540983606557374,0,3,5,0,0.01,Training1000
0.47540983606557374,0,4,5,0,0.01,Training1000
0.47540983606557374,0,5,5,0,0.01,Training1000
0.47540983606557374,0,1,1,0,0.05,Training1000
0.5245901639344263,0,2,1,0,0.05,Training1000
0.5245901639344263,0,3,1,0,0.05,Training1000
0.5245901639344263,0,4,1,0,0.05,Training1000
0.47540983606557374,0,5,1,0,0.05,Training1000
0.47540983606557374,0,1,2,0,0.05,Training1000
0.5245901639344263,0,2,2,0,0.05,Training1000
0.5245901639344263,0,3,2,0,0.05,Training1000
0.5245901639344263,0,4,2,0,0.05,Training1000
0.5245901639344263,0,5,2,0,0.05,Training1000
0.47540983606557374,0,1,3,0,0.05,Training1000
0.5245901639344263,0,2,3,0,0.05,Training1000
0.5245901639344263,0,3,3,0,0.05,Training1000
0.5245901639344263,0,4,3,0,0.05,Training1000
0.5245901639344263,0,5,3,0,0.05,Training1000
0.5245901639344263,0,1,4,0,0.05,Training1000
0.5245901639344263,0,2,4,0,0.05,Training1000
0.5245901639344263,0,3,4,0,0.05,Training1000
0.47540983606557374,0,4,4,0,0.05,Training1000
0.47540983606557374,0,5,4,0,0.05,Training1000
0.5245901639344263,0,1,5,0,0.05,Training1000
0.47540983606557374,0,2,5,0,0.05,Training1000
0.47540983606557374,0,3,5,0,0.05,Training1000
0.47540983606557374,0,4,5,0,0.05,Training1000
0.47540983606557374,0,5,5,0,0.05,Training1000
0.47540983606557374,0,1,1,0,0.1,Training1000
0.47540983606557374,0,2,1,0,0.1,Training1000
0.5245901639344263,0,3,1,0,0.1,Training1000
0.5245901639344263,0,4,1,0,0.1,Training1000
0.5245901639344263,0,5,1,0,0.1,Training1000
0.5245901639344263,0,1,2,0,0.1,Training1000
0.5245901639344263,0,2,2,0,0.1,Training1000
0.47540983606557374,0,3,2,0,0.1,Training1000
0.5245901639344263,0,4,2,0,0.1,Training1000
0.5245901639344263,0,5,2,0,0.1,Training1000
0.5245901639344263,0,1,3,0,0.1,Training1000
0.47540983606557374,0,2,3,0,0.1,Training1000
0.5245901639344263,0,3,3,0,0.1,Training1000
0.47540983606557374,0,4,3,0,0.1,Training1000
0.47540983606557374,0,5,3,0,0.1,Training1000
0.47540983606557374,0,1,4,0,0.1,Training1000
0.47540983606557374,0,2,4,0,0.1,Training1000
0.5245901639344263,0,3,4,0,0.1,Training1000
0.47540983606557374,0,4,4,0,0.1,Training1000
0.47540983606557374,0,5,4,0,0.1,Training1000
0.5245901639344263,0,1,5,0,0.1,Training1000
0.5245901639344263,0,2,5,0,0.1,Training1000
0.47540983606557374,0,3,5,0,0.1,Training1000
0.5245901639344263,0,4,5,0,0.1,Training1000
0.47540983606557374,0,5,5,0,0.1,Training1000
0.5273224043715847,0,1,1,0,0.001,Training1001
0.5273224043715847,0,2,1,0,0.001,Training1001
0.5273224043715847,0,3,1,0,0.001,Training1001
0.5273224043715847,0,4,1,0,0.001,Training1001
0.4726775956284153,0,5,1,0,0.001,Training1001
0.5273224043715847,0,1,2,0,0.001,Training1001
0.5273224043715847,0,2,2,0,0.001,Training1001
0.4726775956284153,0,3,2,0,0.001,Training1001
0.4726775956284153,0,4,2,0,0.001,Training1001
0.5273224043715847,0,5,2,0,0.001,Training1001
0.4726775956284153,0,1,3,0,0.001,Training1001
0.4726775956284153,0,2,3,0,0.001,Training1001
0.5273224043715847,0,3,3,0,0.001,Training1001
0.4726775956284153,0,4,3,0,0.001,Training1001
0.4726775956284153,0,5,3,0,0.001,Training1001
0.4726775956284153,0,1,4,0,0.001,Training1001
0.5273224043715847,0,2,4,0,0.001,Training1001
0.5273224043715847,0,3,4,0,0.001,Training1001
0.4726775956284153,0,4,4,0,0.001,Training1001
0.5273224043715847,0,5,4,0,0.001,Training1001
0.5273224043715847,0,1,5,0,0.001,Training1001
0.5273224043715847,0,2,5,0,0.001,Training1001
0.4726775956284153,0,3,5,0,0.001,Training1001
0.5273224043715847,0,4,5,0,0.001,Training1001
0.5273224043715847,0,5,5,0,0.001,Training1001
