Accuracy,Kappa,layer1,layer2,layer3,Resample
0.5218579234972678,-0.0031951884221407684,1,0,0,Training1000
0.5327868852459017,0.025777528719529274,2,0,0,Training1000
0.5273224043715847,0.00715024931790394,3,0,0,Training1000
0.5601092896174863,0.09691954022988504,4,0,0,Training1000
0.5218579234972678,-0.0031951884221407684,5,0,0,Training1000
0.5245901639344263,-0.00546275537591963,1,0,0,Training1001
0.5273224043715847,0,2,0,0,Training1001
0.5245901639344263,-0.00546275537591963,3,0,0,Training1001
0.5601092896174863,0.08667348646889216,4,0,0,Training1001
0.5355191256830601,0.021974912760539693,5,0,0,Training1001
0.5300546448087432,6.984570448916033e-4,1,0,0,Training1002
0.5355191256830601,0.06705451928267261,2,0,0,Training1002
0.5683060109289617,0.1271508784640462,3,0,0,Training1002
0.546448087431694,0.04158253407370002,4,0,0,Training1002
0.5382513661202186,0.09083693447393942,5,0,0,Training1002
0.5601092896174863,0.08034460155445257,1,0,0,Training1003
0.5327868852459017,0.010998388167251516,2,0,0,Training1003
0.546448087431694,0.07434944237918217,3,0,0,Training1003
0.5846994535519126,0.1658369819468601,4,0,0,Training1003
0.5491803278688525,0.05163478752473397,5,0,0,Training1003
0.5300546448087432,0,1,0,0,Training1004
0.5546448087431693,0.06571240642716183,2,0,0,Training1004
0.5355191256830601,0.01575550493545952,3,0,0,Training1004
0.5300546448087432,0.0034825555625910497,4,0,0,Training1004
0.5655737704918032,0.10041737517390623,5,0,0,Training1004
0.5519125683060109,0.05770800627943472,1,0,0,Training1005
0.5628415300546448,0.08637044433349961,2,0,0,Training1005
0.5737704918032787,0.11286513362336854,3,0,0,Training1005
0.5765027322404371,0.11764705882352938,4,0,0,Training1005
0.5491803278688525,0.0490063305092753,5,0,0,Training1005
0.5546448087431693,0.0637770314804932,1,0,0,Training1006
0.5573770491803278,0.10087346839742793,2,0,0,Training1006
0.5655737704918032,0.09734760353652851,3,0,0,Training1006
0.5546448087431693,0.09259878927995611,4,0,0,Training1006
0.5273224043715847,0.07231810589855552,5,0,0,Training1006
0.5273224043715847,-0.005462571855051129,1,0,0,Training1007
0.5655737704918032,0.12133474256379273,2,0,0,Training1007
0.5327868852459017,0.009621166566446149,3,0,0,Training1007
0.5546448087431693,0.061833621638622174,4,0,0,Training1007
0.5300546448087432,6.984570448916033e-4,5,0,0,Training1007
0.5655737704918032,0.11899355073121985,1,0,0,Training1008
0.5273224043715847,-0.005462571855051129,2,0,0,Training1008
0.5300546448087432,0.0034825555625910497,3,0,0,Training1008
0.5355191256830601,0.013696024348487807,4,0,0,Training1008
0.5355191256830601,0.013696024348487807,5,0,0,Training1008
0.5382513661202186,0.021885575128878287,1,0,0,Training1009
0.5300546448087432,0.001395939086294616,2,0,0,Training1009
0.5601092896174863,0.07526442986723562,3,0,0,Training1009
0.5655737704918032,0.09239215196980548,4,0,0,Training1009
0.5491803278688525,0.10248788752489384,5,0,0,Training1009
0.5737704918032787,0.12303013547138505,1,0,0,Training1010
0.5710382513661202,0.103864508281089,2,0,0,Training1010
0.5382513661202186,0.01547130169038305,3,0,0,Training1010
0.5273224043715847,0.07745432293032602,4,0,0,Training1010
0.5655737704918032,0.11432745867957252,5,0,0,Training1010
0.5,0.03230560291270543,1,0,0,Training1011
0.5519125683060109,0.043289767293592414,2,0,0,Training1011
0.5737704918032787,0.10406728596535272,3,0,0,Training1011
0.5081967213114754,0.047811759264612334,4,0,0,Training1011
0.5355191256830601,0,5,0,0,Training1011
0.5519125683060109,0.043289767293592414,1,0,0,Training1012
0.5382513661202186,0.00795509222133138,2,0,0,Training1012
0.4644808743169399,0,3,0,0,Training1012
0.5491803278688525,0.03545759463344523,4,0,0,Training1012
0.5327868852459017,-0.005462198374192786,5,0,0,Training1012
0.5573770491803278,0.09039027982326946,1,0,0,Training1013
0.5546448087431693,0.09093956663517477,2,0,0,Training1013
0.5355191256830601,8.350462487151945e-4,3,0,0,Training1013
