Accuracy,Kappa,C,sigma,Resample
0.5172413793103449,-0.004519174934989176,1,0.01,Training1001
0.5221674876847291,0,0.001,0.001,Training1002
0.5344827586206896,0.030426322306739636,0.1,0.001,Training1002
0.5344827586206896,0.030867160069716296,0.25,0.001,Training1002
0.5221674876847291,0,0.5,0.001,Training1002
0.5369458128078818,0.04144270859496665,1,0.001,Training1002
0.5221674876847291,0,0.001,0.002,Training1002
0.5221674876847291,0,0.1,0.002,Training1002
0.5172413793103449,-0.008465554823338583,0.25,0.002,Training1002
0.5246305418719212,0.014389575105028626,0.5,0.002,Training1002
0.5221674876847291,0,1,0.002,Training1002
0.5221674876847291,9.132883454259362e-4,0.001,0.005,Training1002
0.5221674876847291,0,0.1,0.005,Training1002
0.5344827586206896,0.0339418355784966,0.25,0.005,Training1002
0.5221674876847291,4.5685279187805087e-4,0.5,0.005,Training1002
0.5221674876847291,9.132883454259362e-4,1,0.005,Training1002
0.5221674876847291,0.0013693072319708869,0.001,0.01,Training1002
0.5246305418719212,0.007649249005850706,0.1,0.01,Training1002
0.5172413793103449,-0.00984771573604072,0.25,0.01,Training1002
0.5197044334975369,-0.003091503433596104,0.5,0.01,Training1002
0.5246305418719212,0.00900467939800166,1,0.01,Training1002
0.5246305418719212,0,0.001,0.001,Training1003
0.5467980295566502,0.05983035062548768,0.1,0.001,Training1003
0.541871921182266,0.04237997413071608,0.25,0.001,Training1003
0.5246305418719212,0.0030535128120308024,0.5,0.001,Training1003
0.5246305418719212,0,1,0.001,Training1003
0.5221674876847291,-0.004924851361351162,0.001,0.002,Training1003
0.5246305418719212,5.102170973749267e-4,0.1,0.002,Training1003
0.5049261083743842,-0.034585055402013266,0.25,0.002,Training1003
0.5541871921182266,0.07724955423290407,0.5,0.002,Training1003
0.5246305418719212,0,1,0.002,Training1003
0.5591133004926109,0.08927542043660257,0.001,0.005,Training1003
0.5246305418719212,0,0.1,0.005,Training1003
0.5246305418719212,5.102170973749267e-4,0.25,0.005,Training1003
0.5344827586206896,0.031111896765069893,0.5,0.005,Training1003
0.5394088669950738,0.03649838828396649,1,0.005,Training1003
0.5246305418719212,0.0030535128120308024,0.001,0.01,Training1003
0.5246305418719212,0,0.1,0.01,Training1003
0.4211822660098522,-0.15511271459357373,0.25,0.01,Training1003
0.5467980295566502,0.058408328921828144,0.5,0.01,Training1003
0.5295566502463054,0.013384564492735134,1,0.01,Training1003
0.5270935960591133,0,0.001,0.001,Training1004
0.5443349753694581,0.04374506658518556,0.1,0.001,Training1004
0.5270935960591133,0,0.25,0.001,Training1004
0.5394088669950738,0.03932683790965442,0.5,0.001,Training1004
0.5270935960591133,0,1,0.001,Training1004
0.5344827586206896,0.018119001919385803,0.001,0.002,Training1004
0.5394088669950738,0.031780039278700184,0.1,0.002,Training1004
0.5295566502463054,0.008844806871341065,0.25,0.002,Training1004
0.5467980295566502,0.05552746030140589,0.5,0.002,Training1004
0.5369458128078818,0.02959723352318968,1,0.002,Training1004
0.5221674876847291,-0.008140487405283654,0.001,0.005,Training1004
0.5270935960591133,0,0.1,0.005,Training1004
0.5270935960591133,0,0.25,0.005,Training1004
0.5443349753694581,0.05013025773326246,0.5,0.005,Training1004
0.541871921182266,0.03722780355958999,1,0.005,Training1004
0.5344827586206896,0.024708304735758333,0.001,0.01,Training1004
0.5369458128078818,0.026875414350553333,0.1,0.01,Training1004
0.5270935960591133,0,0.25,0.01,Training1004
0.5270935960591133,0,0.5,0.01,Training1004
0.5270935960591133,0,1,0.01,Training1004
0.5270935960591133,0,0.001,0.001,Training1005
0.5,-0.041709851108470954,0.1,0.001,Training1005
0.5270935960591133,0,0.25,0.001,Training1005
0.5369458128078818,0.026329217267067977,0.5,0.001,Training1005
0.5270935960591133,5.641314939228755e-4,1,0.001,Training1005
0.5270935960591133,5.641314939228755e-4,0.001,0.002,Training1005
0.5270935960591133,0,0.1,0.002,Training1005
0.5270935960591133,0,0.25,0.002,Training1005
0.5270935960591133,0,0.5,0.002,Training1005
0.5295566502463054,0.0054890091568985016,1,0.002,Training1005
0.5394088669950738,0.03610694969910865,0.001,0.005,Training1005
0.5270935960591133,5.641314939228755e-4,0.1,0.005,Training1005
0.5246305418719212,-0.00492471849590883,0.25,0.005,Training1005
0.5467980295566502,0.05077509529860224,0.5,0.005,Training1005
0.5270935960591133,0.0028143069129612443,1,0.005,Training1005
0.5394088669950738,0.031780039278700184,0.001,0.01,Training1005
0.5270935960591133,0,0.1,0.01,Training1005
0.5591133004926109,0.08144796380090501,0.25,0.01,Training1005
0.5394088669950738,0.030692235017746306,0.5,0.01,Training1005
0.5443349753694581,0.04481521987944126,1,0.01,Training1005
0.5270935960591133,0,0.001,0.001,Training1006
0.5369458128078818,0.026329217267067977,0.1,0.001,Training1006
0.5270935960591133,0,0.25,0.001,Training1006
0.5640394088669951,0.09673445787978577,0.5,0.001,Training1006
0.5270935960591133,0,1,0.001,Training1006
0.5270935960591133,0,0.001,0.002,Training1006
0.5295566502463054,0.008287080850193007,0.1,0.002,Training1006
0.5270935960591133,0.0011276268580215135,0.25,0.002,Training1006
0.5270935960591133,0,0.5,0.002,Training1006
0.541871921182266,0.03722780355958999,1,0.002,Training1006
0.5246305418719212,-0.002661548304542513,0.001,0.005,Training1006
0.5270935960591133,0.001690487167665453,0.1,0.005,Training1006
0.43596059113300495,-0.11616125237100516,0.25,0.005,Training1006
0.5270935960591133,0,0.5,0.005,Training1006
0.5369458128078818,0.02523498161013478,1,0.005,Training1006
0.5615763546798029,0.1047519944502253,0.001,0.01,Training1006
0.5640394088669951,0.09372714202840063,0.1,0.01,Training1006
0.5295566502463054,0.008287080850193007,0.25,0.01,Training1006
0.5665024630541872,0.10406740558704043,0.5,0.01,Training1006
0.5270935960591133,0,1,0.01,Training1006
0.5246305418719212,0,0.001,0.001,Training1007
0.5320197044334976,0.02029515608727694,0.1,0.001,Training1007
0.5246305418719212,0,0.25,0.001,Training1007
0.5246305418719212,0.0025458896611420543,0.5,0.001,Training1007
0.5246305418719212,0,1,0.001,Training1007
0.5369458128078818,0.0301151236371955,0.001,0.002,Training1007
0.5270935960591133,0.008471342440662628,0.1,0.002,Training1007
0.5369458128078818,0.03355364785130046,0.25,0.002,Training1007
0.5246305418719212,0,0.5,0.002,Training1007
0.47783251231527096,-0.0772735237427718,1,0.002,Training1007
0.5738916256157636,0.1294033069734004,0.001,0.005,Training1007
0.5246305418719212,0,0.1,0.005,Training1007
0.5246305418719212,0,0.25,0.005,Training1007
0.5394088669950738,0.039424074495812,0.5,0.005,Training1007
0.5320197044334976,0.02029515608727694,1,0.005,Training1007
0.5566502463054187,0.08303847022509969,0.001,0.01,Training1007
0.5246305418719212,0,0.1,0.01,Training1007
0.5443349753694581,0.051138229869375,0.25,0.01,Training1007
0.5246305418719212,0.0020377493058916173,0.5,0.01,Training1007
0.47783251231527096,-0.06924395637158674,1,0.01,Training1007
0.5246305418719212,0,0.001,0.001,Training1008
0.5492610837438424,0.06611528696045672,0.1,0.001,Training1008
0.5369458128078818,0.034042876306664395,0.25,0.001,Training1008
0.5369458128078818,0.031100053314377242,0.5,0.001,Training1008
0.5246305418719212,0.0020377493058916173,1,0.001,Training1008
0.5197044334975369,-0.0098471899793362,0.001,0.002,Training1008
0.5467980295566502,0.06030340385921658,0.1,0.002,Training1008
0.5394088669950738,0.03698723965600334,0.25,0.002,Training1008
0.5541871921182266,0.07724955423290407,0.5,0.002,Training1008
0.5394088669950738,0.04281499785672865,1,0.002,Training1008
0.5221674876847291,-0.0039001758902850237,0.001,0.005,Training1008
0.5344827586206896,0.025698976611899654,0.1,0.005,Training1008
0.5246305418719212,0,0.25,0.005,Training1008
0.47044334975369456,-0.08302935556713577,0.5,0.005,Training1008
0.5246305418719212,5.102170973749267e-4,1,0.005,Training1008
0.5197044334975369,-0.008817757842962366,0.001,0.01,Training1008
0.5369458128078818,0.03501984879516557,0.1,0.01,Training1008
0.5246305418719212,0,0.25,0.01,Training1008
0.5566502463054187,0.0811938947421358,0.5,0.01,Training1008
0.5541871921182266,0.07259143340316539,1,0.01,Training1008
0.5246305418719212,0,0.001,0.001,Training1009
0.5640394088669951,0.1030480041938142,0.1,0.001,Training1009
0.5246305418719212,0,0.25,0.001,Training1009
0.541871921182266,0.04237997413071608,0.5,0.001,Training1009
0.5246305418719212,0.0030535128120308024,1,0.001,Training1009
0.5443349753694581,0.05543398978847556,0.001,0.002,Training1009
0.5320197044334976,0.02426066938197283,0.1,0.002,Training1009
0.541871921182266,0.049132438490014876,0.25,0.002,Training1009
0.5246305418719212,0,0.5,0.002,Training1009
0.5270935960591133,0.008471342440662628,1,0.002,Training1009
0.5,-0.034388413363789165,0.001,0.005,Training1009
0.5246305418719212,0.0015290909554269794,0.1,0.005,Training1009
0.5246305418719212,0,0.25,0.005,Training1009
0.5246305418719212,0.0015290909554269794,0.5,0.005,Training1009
0.5467980295566502,0.058408328921828144,1,0.005,Training1009
0.5591133004926109,0.08927542043660257,0.001,0.01,Training1009
0.49507389162561577,-0.04196399509251602,0.1,0.01,Training1009
0.5615763546798029,0.09459019268836595,0.25,0.01,Training1009
0.5246305418719212,0,0.5,0.01,Training1009
0.5221674876847291,-0.0039001758902850237,1,0.01,Training1009
