Accuracy,Kappa,C,sigma,Resample
0.5197044334975369,0,0.001,0.001,Training1000
0.5295566502463054,0.026415568110483265,0.1,0.001,Training1000
0.5172413793103449,-0.002898696846721627,0.25,0.001,Training1000
0.5197044334975369,0,0.5,0.001,Training1000
0.5320197044334976,0.029758760345131217,1,0.001,Training1000
0.5197044334975369,0,0.001,0.002,Training1000
0.5197044334975369,0,0.1,0.002,Training1000
0.5197044334975369,0,0.25,0.002,Training1000
0.5197044334975369,0.00282137189208249,0.5,0.002,Training1000
0.5221674876847291,0.005329224862980936,1,0.002,Training1000
0.5197044334975369,0,0.001,0.005,Training1000
0.5369458128078818,0.04035806784178633,0.1,0.005,Training1000
0.5197044334975369,0,0.25,0.005,Training1000
0.5197044334975369,0,0.5,0.005,Training1000
0.5123152709359606,-0.013950203072576021,1,0.005,Training1000
0.5295566502463054,0.024455906403321098,0.001,0.01,Training1000
0.5197044334975369,0,0.1,0.01,Training1000
0.5197044334975369,0,0.25,0.01,Training1000
0.5197044334975369,0,0.5,0.01,Training1000
0.5172413793103449,-0.004519174934989176,1,0.01,Training1000
0.5197044334975369,0,0.001,0.001,Training1001
0.5320197044334976,0.03170737830442096,0.1,0.001,Training1001
0.5197044334975369,0.0012111119521610626,0.25,0.001,Training1001
0.5221674876847291,0.0057310207276127425,0.5,0.001,Training1001
0.5197044334975369,0,1,0.001,Training1001
0.5197044334975369,0,0.001,0.002,Training1001
0.5344827586206896,0.03544762048419931,0.1,0.002,Training1001
0.5197044334975369,0.0024192938686020717,0.25,0.002,Training1001
0.5197044334975369,0,0.5,0.002,Training1001
0.5049261083743842,-0.027033149588461838,1,0.002,Training1001
0.5665024630541872,0.11197275868068503,0.001,0.005,Training1001
0.5320197044334976,0.029758760345131217,0.1,0.005,Training1001
0.45566502463054187,-0.10475510354847452,0.25,0.005,Training1001
0.5147783251231527,-0.008625690433554448,0.5,0.005,Training1001
0.5197044334975369,0.00282137189208249,1,0.005,Training1001
0.5369458128078818,0.041899932217006,0.001,0.01,Training1001
0.5197044334975369,0,0.1,0.01,Training1001
0.5197044334975369,0,0.25,0.01,Training1001
0.5197044334975369,0,0.5,0.01,Training1001
