Accuracy,Kappa,C,Resample
0.5344827586206896,0.0350594803953622,0.01,Training1000
0.5221674876847291,0.007735140719091008,0.1,Training1000
0.5197044334975369,0.0016141642916592902,0.5,Training1000
0.5197044334975369,4.0403020125753895e-4,1,Training1000
0.5221674876847291,0.006533639413738622,2,Training1000
0.5197044334975369,4.0403020125753895e-4,0.01,Training1001
0.5246305418719212,0.011854019016873028,0.1,Training1001
0.5221674876847291,0.0057310207276127425,0.5,Training1001
0.5197044334975369,0.002016891466027959,1,Training1001
0.5172413793103449,-0.0033033260206267764,2,Training1001
0.5246305418719212,0.008553280866462544,0.01,Training1002
0.5270935960591133,0.01121315135217411,0.1,Training1002
0.42857142857142855,-0.14812286689419799,0.5,Training1002
0.5197044334975369,-0.0049249828641060684,1,Training1002
0.5246305418719212,0.006743566992014228,2,Training1002
0.5369458128078818,0.031100053314377242,0.01,Training1003
0.5246305418719212,0,0.1,Training1003
0.5320197044334976,0.018300287612308966,0.5,Training1003
0.5246305418719212,5.102170973749267e-4,1,Training1003
0.5246305418719212,0,2,Training1003
0.5394088669950738,0.03286540470306483,0.01,Training1004
0.5270935960591133,0.004495300367797247,0.1,Training1004
0.5295566502463054,0.009958379082297058,0.5,Training1004
0.5270935960591133,0,1,Training1004
0.5295566502463054,0.009958379082297058,2,Training1004
0.5320197044334976,0.01982210927573061,0.01,Training1005
0.5295566502463054,0.013284132841328363,0.1,Training1005
0.5270935960591133,5.641314939228755e-4,0.5,Training1005
0.5270935960591133,0,1,Training1005
0.5270935960591133,0,2,Training1005
0.5270935960591133,5.641314939228755e-4,0.01,Training1006
0.5295566502463054,0.013284132841328363,0.1,Training1006
0.5270935960591133,0.001690487167665453,0.5,Training1006
0.5320197044334976,0.018175338560227974,1,Training1006
0.5295566502463054,0.009958379082297058,2,Training1006
0.5369458128078818,0.03355364785130046,0.01,Training1007
0.5246305418719212,0.0015290909554269794,0.1,Training1007
0.5270935960591133,0.011489005554287599,0.5,Training1007
0.5270935960591133,0.009479275203944362,1,Training1007
0.5270935960591133,0.01098733791773468,2,Training1007
0.5369458128078818,0.031100053314377242,0.01,Training1008
0.5467980295566502,0.05650559498850695,0.1,Training1008
0.5295566502463054,0.0143877576959251,0.5,Training1008
0.5270935960591133,0.011489005554287599,1,Training1008
0.5443349753694581,0.051138229869375,2,Training1008
0.5246305418719212,0,0.01,Training1009
0.5344827586206896,0.029641619666658098,0.1,Training1009
0.5295566502463054,0.01738513393649094,0.5,Training1009
0.5541871921182266,0.07632167726689981,1,Training1009
0.5492610837438424,0.06281692272761699,2,Training1009
