Accuracy,Kappa,size,decay,Resample
0.5517241379310345,0.07403508771929813,3,0.01,Training1006
0.5467980295566502,0.07204610951008647,4,0.01,Training1006
0.5270935960591133,0.02851445663010977,5,0.01,Training1006
0.5714285714285714,0.10933481264814163,1,0.1,Training1006
0.5763546798029556,0.11957234353724343,2,0.1,Training1006
0.5763546798029556,0.11957234353724343,3,0.1,Training1006
0.5763546798029556,0.11957234353724343,4,0.1,Training1006
0.5738916256157636,0.1142078845814311,5,0.1,Training1006
0.5270935960591133,0,1,1,Training1006
0.5270935960591133,0,2,1,Training1006
0.5270935960591133,0,3,1,Training1006
0.5270935960591133,0,4,1,Training1006
0.5270935960591133,0,5,1,Training1006
0.5517241379310345,0.061545886357286285,1,0.001,Training1007
0.5443349753694581,0.06063183171164854,2,0.001,Training1007
0.5566502463054187,0.09034329955936175,3,0.001,Training1007
0.5689655172413793,0.1100728976176759,4,0.001,Training1007
0.5123152709359606,-0.008151696807043023,5,0.001,Training1007
0.5517241379310345,0.0751708428246015,1,0.01,Training1007
0.541871921182266,0.06002140954467385,2,0.01,Training1007
0.5369458128078818,0.0564908897624169,3,0.01,Training1007
0.5197044334975369,0.01576369377657318,4,0.01,Training1007
0.5566502463054187,0.08533380059575972,5,0.01,Training1007
0.5640394088669951,0.09673445787978598,1,0.1,Training1007
0.5738916256157636,0.11759089424357409,2,0.1,Training1007
0.5615763546798029,0.09504370257206532,3,0.1,Training1007
0.5714285714285714,0.11226720953027211,4,0.1,Training1007
0.5714285714285714,0.11226720953027211,5,0.1,Training1007
0.5246305418719212,0,1,1,Training1007
0.5246305418719212,0,2,1,Training1007
0.5246305418719212,0,3,1,Training1007
0.5246305418719212,0,4,1,Training1007
0.5246305418719212,0,5,1,Training1007
0.5517241379310345,0.061545886357286285,1,0.001,Training1008
0.5615763546798029,0.10401944010513527,2,0.001,Training1008
0.5566502463054187,0.08943656707119546,3,0.001,Training1008
0.5344827586206896,0.049357020738868496,4,0.001,Training1008
0.5443349753694581,0.07085776491254114,5,0.001,Training1008
0.5763546798029556,0.12685988646877897,1,0.01,Training1008
0.5467980295566502,0.07059145537336095,2,0.01,Training1008
0.5541871921182266,0.09853038592703463,3,0.01,Training1008
0.5689655172413793,0.12540929121839545,4,0.01,Training1008
0.5270935960591133,0.04068522483940043,5,0.01,Training1008
0.5689655172413793,0.10828585054845767,1,0.1,Training1008
0.5566502463054187,0.08579148840351263,2,0.1,Training1008
0.5738916256157636,0.11847686939933243,3,0.1,Training1008
0.5467980295566502,0.06641005773700931,4,0.1,Training1008
0.5738916256157636,0.11847686939933243,5,0.1,Training1008
0.5246305418719212,0,1,1,Training1008
0.5246305418719212,0,2,1,Training1008
0.5246305418719212,0,3,1,Training1008
0.5246305418719212,0,4,1,Training1008
0.5246305418719212,0,5,1,Training1008
0.5517241379310345,0.08433914099482022,1,0.001,Training1009
0.5566502463054187,0.08761766835626367,2,0.001,Training1009
0.5517241379310345,0.08569873048083348,3,0.001,Training1009
0.5591133004926109,0.09155228880722029,4,0.001,Training1009
0.5394088669950738,0.06405483369905568,5,0.001,Training1009
0.5714285714285714,0.11537979914347955,1,0.01,Training1009
0.5640394088669951,0.11015626934792837,2,0.01,Training1009
0.541871921182266,0.0669895475549186,3,0.01,Training1009
0.5665024630541872,0.11889319095415415,4,0.01,Training1009
0.5147783251231527,0.016912903463703645,5,0.01,Training1009
0.5714285714285714,0.11360385455092967,1,0.1,Training1009
0.5689655172413793,0.10873328482902243,2,0.1,Training1009
0.5665024630541872,0.10386515839373942,3,0.1,Training1009
0.5566502463054187,0.08624871839755945,4,0.1,Training1009
0.5714285714285714,0.11360385455092967,5,0.1,Training1009
0.5246305418719212,0,1,1,Training1009
0.5246305418719212,0,2,1,Training1009
0.5246305418719212,0,3,1,Training1009
0.5246305418719212,0,4,1,Training1009
0.5246305418719212,0,5,1,Training1009
