Accuracy,Kappa,layer1,layer2,layer3,Resample
0.5197044334975369,0,1,1,0,Training1000
0.5197044334975369,0,2,1,0,Training1000
0.4802955665024631,0,3,1,0,Training1000
0.4802955665024631,0,4,1,0,Training1000
0.4802955665024631,0,5,1,0,Training1000
0.5197044334975369,0,1,2,0,Training1000
0.4802955665024631,0,2,2,0,Training1000
0.5197044334975369,0,3,2,0,Training1000
0.5197044334975369,0,4,2,0,Training1000
0.5197044334975369,0,5,2,0,Training1000
0.4802955665024631,0,1,3,0,Training1000
0.5197044334975369,0,2,3,0,Training1000
0.5197044334975369,0,3,3,0,Training1000
0.5197044334975369,0,4,3,0,Training1000
0.4802955665024631,0,5,3,0,Training1000
0.4802955665024631,0,1,4,0,Training1000
0.5197044334975369,0,2,4,0,Training1000
0.4802955665024631,0,3,4,0,Training1000
0.4802955665024631,0,4,4,0,Training1000
0.4802955665024631,0,5,4,0,Training1000
0.5197044334975369,0,1,5,0,Training1000
0.5197044334975369,0,2,5,0,Training1000
0.5197044334975369,0,3,5,0,Training1000
0.5197044334975369,0,4,5,0,Training1000
0.5197044334975369,0,5,5,0,Training1000
0.5197044334975369,0,1,1,0,Training1001
0.5197044334975369,0,2,1,0,Training1001
0.4802955665024631,0,3,1,0,Training1001
0.5197044334975369,0,4,1,0,Training1001
0.5197044334975369,0,5,1,0,Training1001
0.5197044334975369,0,1,2,0,Training1001
0.5197044334975369,0,2,2,0,Training1001
0.5197044334975369,0,3,2,0,Training1001
0.5197044334975369,0,4,2,0,Training1001
0.5197044334975369,0,5,2,0,Training1001
0.5197044334975369,0,1,3,0,Training1001
0.5197044334975369,0,2,3,0,Training1001
0.5197044334975369,0,3,3,0,Training1001
0.5197044334975369,0,4,3,0,Training1001
0.4802955665024631,0,5,3,0,Training1001
0.5197044334975369,0,1,4,0,Training1001
0.4802955665024631,0,2,4,0,Training1001
0.5197044334975369,0,3,4,0,Training1001
0.5197044334975369,0,4,4,0,Training1001
0.5197044334975369,0,5,4,0,Training1001
0.5197044334975369,0,1,5,0,Training1001
0.5197044334975369,0,2,5,0,Training1001
