Accuracy,Kappa,layer1,layer2,layer3,decay,Resample
0.5197044334975369,0,1,0,0,0.001,Training1000
0.5197044334975369,0,2,0,0,0.001,Training1000
0.4802955665024631,0,3,0,0,0.001,Training1000
0.5197044334975369,0,4,0,0,0.001,Training1000
0.4802955665024631,0,5,0,0,0.001,Training1000
0.5197044334975369,0,1,0,0,0.005,Training1000
0.4802955665024631,0,2,0,0,0.005,Training1000
0.5197044334975369,0,3,0,0,0.005,Training1000
0.5197044334975369,0,4,0,0,0.005,Training1000
0.5197044334975369,0,5,0,0,0.005,Training1000
0.5197044334975369,0,1,0,0,0.01,Training1000
0.4802955665024631,0,2,0,0,0.01,Training1000
0.4802955665024631,0,3,0,0,0.01,Training1000
0.5197044334975369,0,4,0,0,0.01,Training1000
0.5197044334975369,0,5,0,0,0.01,Training1000
0.4802955665024631,0,1,0,0,0.05,Training1000
0.5197044334975369,0,2,0,0,0.05,Training1000
0.4802955665024631,0,3,0,0,0.05,Training1000
0.5197044334975369,0,4,0,0,0.05,Training1000
0.4802955665024631,0,5,0,0,0.05,Training1000
0.5197044334975369,0,1,0,0,0.1,Training1000
0.4802955665024631,0,2,0,0,0.1,Training1000
0.5197044334975369,0,3,0,0,0.1,Training1000
0.4802955665024631,0,4,0,0,0.1,Training1000
0.4802955665024631,0,5,0,0,0.1,Training1000
0.5197044334975369,0,1,0,0,0.001,Training1001
0.4802955665024631,0,2,0,0,0.001,Training1001
0.4802955665024631,0,3,0,0,0.001,Training1001
0.5197044334975369,0,4,0,0,0.001,Training1001
0.5197044334975369,0,5,0,0,0.001,Training1001
0.4802955665024631,0,1,0,0,0.005,Training1001
0.4802955665024631,0,2,0,0,0.005,Training1001
0.5197044334975369,0,3,0,0,0.005,Training1001
0.5197044334975369,0,4,0,0,0.005,Training1001
0.5197044334975369,0,5,0,0,0.005,Training1001
0.5197044334975369,0,1,0,0,0.01,Training1001
0.5197044334975369,0,2,0,0,0.01,Training1001
0.4802955665024631,0,3,0,0,0.01,Training1001
0.5197044334975369,0,4,0,0,0.01,Training1001
0.5197044334975369,0,5,0,0,0.01,Training1001
0.4802955665024631,0,1,0,0,0.05,Training1001
0.5197044334975369,0,2,0,0,0.05,Training1001
0.5197044334975369,0,3,0,0,0.05,Training1001
0.4802955665024631,0,4,0,0,0.05,Training1001
0.4802955665024631,0,5,0,0,0.05,Training1001
0.5197044334975369,0,1,0,0,0.1,Training1001
0.5197044334975369,0,2,0,0,0.1,Training1001
0.5197044334975369,0,3,0,0,0.1,Training1001
0.5197044334975369,0,4,0,0,0.1,Training1001
0.5197044334975369,0,5,0,0,0.1,Training1001
0.5221674876847291,0,1,0,0,0.001,Training1002
0.5221674876847291,0,2,0,0,0.001,Training1002
0.5221674876847291,0,3,0,0,0.001,Training1002
0.47783251231527096,0,4,0,0,0.001,Training1002
0.47783251231527096,0,5,0,0,0.001,Training1002
0.5221674876847291,0,1,0,0,0.005,Training1002
0.47783251231527096,0,2,0,0,0.005,Training1002
0.5221674876847291,0,3,0,0,0.005,Training1002
0.5221674876847291,0,4,0,0,0.005,Training1002
0.5221674876847291,0,5,0,0,0.005,Training1002
0.5221674876847291,0,1,0,0,0.01,Training1002
0.5221674876847291,0,2,0,0,0.01,Training1002
0.5221674876847291,0,3,0,0,0.01,Training1002
0.5221674876847291,0,4,0,0,0.01,Training1002
0.5221674876847291,0,5,0,0,0.01,Training1002
0.47783251231527096,0,1,0,0,0.05,Training1002
0.47783251231527096,0,2,0,0,0.05,Training1002
0.5221674876847291,0,3,0,0,0.05,Training1002
0.5221674876847291,0,4,0,0,0.05,Training1002
0.5221674876847291,0,5,0,0,0.05,Training1002
0.5221674876847291,0,1,0,0,0.1,Training1002
0.47783251231527096,0,2,0,0,0.1,Training1002
0.47783251231527096,0,3,0,0,0.1,Training1002
0.47783251231527096,0,4,0,0,0.1,Training1002
0.47783251231527096,0,5,0,0,0.1,Training1002
0.5246305418719212,0,1,0,0,0.001,Training1003
0.5246305418719212,0,2,0,0,0.001,Training1003
0.5246305418719212,0,3,0,0,0.001,Training1003
0.5246305418719212,0,4,0,0,0.001,Training1003
