Accuracy,Kappa,degree,scale,C,Resample
0.5245901639344263,0,1,0.001,0.25,Training1000
0.46174863387978143,-0.09057083219892918,2,0.001,0.25,Training1000
0.5245901639344263,0,3,0.001,0.25,Training1000
0.5218579234972678,-0.0037611659614481224,1,0.01,0.25,Training1000
0.5191256830601093,-0.009781790820165542,2,0.01,0.25,Training1000
0.5218579234972678,-0.0037611659614481224,3,0.01,0.25,Training1000
0.5273224043715847,0.008269899445540853,1,0.1,0.25,Training1000
0.5273224043715847,0.006589475666007731,2,0.1,0.25,Training1000
0.5300546448087432,0.02526941657376434,3,0.1,0.25,Training1000
0.5218579234972678,-0.0031951884221407684,1,0.001,0.5,Training1000
0.5245901639344263,0,2,0.001,0.5,Training1000
0.5245901639344263,5.649717514122771e-4,3,0.001,0.5,Training1000
0.5245901639344263,0.0011293054771317258,1,0.01,0.5,Training1000
0.5245901639344263,5.649717514122771e-4,2,0.01,0.5,Training1000
0.5191256830601093,-0.009781790820165542,3,0.01,0.5,Training1000
0.4426229508196721,-0.1277868406742795,1,0.1,0.5,Training1000
0.5245901639344263,0.0022560631697686115,2,0.1,0.5,Training1000
0.5355191256830601,0.032829695952247794,3,0.1,0.5,Training1000
0.5327868852459017,0.021390374331550846,1,0.001,1,Training1000
0.5245901639344263,5.649717514122771e-4,2,0.001,1,Training1000
0.5245901639344263,0,3,0.001,1,Training1000
0.5245901639344263,5.649717514122771e-4,1,0.01,1,Training1000
0.5245901639344263,5.649717514122771e-4,2,0.01,1,Training1000
0.5245901639344263,0.0011293054771317258,3,0.01,1,Training1000
0.5273224043715847,0.00715024931790394,1,0.1,1,Training1000
0.5300546448087432,0.012052730696798356,2,0.1,1,Training1000
0.5409836065573771,0.0452766908887647,3,0.1,1,Training1000
0.5245901639344263,-0.004194392759153332,1,0.001,0.25,Training1001
0.5355191256830601,0.023203240290118943,2,0.001,0.25,Training1001
0.5382513661202186,0.027422245982578256,3,0.001,0.25,Training1001
0.5273224043715847,6.313330597557646e-4,1,0.01,0.25,Training1001
