Accuracy,Kappa,degree,scale,C,Resample
0.5369458128078818,0.03793894476795487,1,0.001,0.5,Training1007
0.5246305418719212,0,2,0.001,0.5,Training1007
0.5344827586206896,0.02520389237531433,3,0.001,0.5,Training1007
0.5270935960591133,0.005435198652683374,1,0.01,0.5,Training1007
0.541871921182266,0.04817363684489151,2,0.01,0.5,Training1007
0.5270935960591133,0.0069555912252543504,3,0.01,0.5,Training1007
0.5295566502463054,0.012882201685378911,1,0.1,0.5,Training1007
0.5665024630541872,0.10789283128168001,2,0.1,0.5,Training1007
0.5517241379310345,0.06958120325367044,3,0.1,0.5,Training1007
0.5270935960591133,0.00796660642928065,1,0.001,1,Training1007
0.5344827586206896,0.025698976611899654,2,0.001,1,Training1007
0.5320197044334976,0.02029515608727694,3,0.001,1,Training1007
0.5246305418719212,0,1,0.01,1,Training1007
0.5246305418719212,0,2,0.01,1,Training1007
0.5689655172413793,0.10469013836034192,3,0.01,1,Training1007
0.5246305418719212,0.004573286922940058,1,0.1,1,Training1007
0.5541871921182266,0.07492635766257982,2,0.1,1,Training1007
0.5615763546798029,0.09094568416815513,3,0.1,1,Training1007
0.5246305418719212,0.0010199138172824267,1,0.001,0.25,Training1008
0.5394088669950738,0.03845082195597646,2,0.001,0.25,Training1008
0.541871921182266,0.049132438490014876,3,0.001,0.25,Training1008
0.5320197044334976,0.02426066938197283,1,0.01,0.25,Training1008
0.5394088669950738,0.03698723965600334,2,0.01,0.25,Training1008
0.5566502463054187,0.08211710919641282,3,0.01,0.25,Training1008
0.4187192118226601,-0.1608713562238,1,0.1,0.25,Training1008
0.5517241379310345,0.07238444349594512,2,0.1,0.25,Training1008
0.5246305418719212,0,3,0.1,0.25,Training1008
0.5344827586206896,0.025698976611899654,1,0.001,0.5,Training1008
0.4753694581280788,-0.0799220759759235,2,0.001,0.5,Training1008
0.5246305418719212,0,3,0.001,0.5,Training1008
0.5394088669950738,0.03649838828396649,1,0.01,0.5,Training1008
0.5394088669950738,0.03698723965600334,2,0.01,0.5,Training1008
0.5541871921182266,0.07259143340316539,3,0.01,0.5,Training1008
0.5295566502463054,0.01838021215726969,1,0.1,0.5,Training1008
0.5615763546798029,0.09322693166704302,2,0.1,0.5,Training1008
0.5689655172413793,0.11229665908693379,3,0.1,0.5,Training1008
0.5246305418719212,0,1,0.001,1,Training1008
0.5394088669950738,0.03649838828396649,2,0.001,1,Training1008
0.5246305418719212,0,3,0.001,1,Training1008
0.5270935960591133,0.0069555912252543504,1,0.01,1,Training1008
0.5320197044334976,0.021289553147758263,2,0.01,1,Training1008
0.5467980295566502,0.05363703159441595,3,0.01,1,Training1008
0.5246305418719212,0.0015290909554269794,1,0.1,1,Training1008
0.5591133004926109,0.08744569175519241,2,0.1,1,Training1008
0.46551724137931033,-0.09310404724683004,3,0.1,1,Training1008
0.5541871921182266,0.08323560967090007,1,0.001,0.25,Training1009
0.5591133004926109,0.08927542043660257,2,0.001,0.25,Training1009
0.5246305418719212,0.0030535128120308024,3,0.001,0.25,Training1009
0.5246305418719212,0.0010199138172824267,1,0.01,0.25,Training1009
0.43103448275862066,-0.13325599941999564,2,0.01,0.25,Training1009
0.5246305418719212,0.0015290909554269794,3,0.01,0.25,Training1009
0.5295566502463054,0.017882925099419838,1,0.1,0.25,Training1009
0.5615763546798029,0.09094568416815513,2,0.1,0.25,Training1009
0.458128078817734,-0.10301563387586753,3,0.1,0.25,Training1009
0.5394088669950738,0.04281499785672865,1,0.001,0.5,Training1009
0.5246305418719212,0.0015290909554269794,2,0.001,0.5,Training1009
0.5591133004926109,0.09291295339374432,3,0.001,0.5,Training1009
0.5443349753694581,0.05495860489695261,1,0.01,0.5,Training1009
0.42857142857142855,-0.13788687815603165,2,0.01,0.5,Training1009
0.5246305418719212,0.0025458896611420543,3,0.01,0.5,Training1009
0.5246305418719212,0.0010199138172824267,1,0.1,0.5,Training1009
0.5098522167487685,-0.0217000935784922,2,0.1,0.5,Training1009
0.5714285714285714,0.12197668348703672,3,0.1,0.5,Training1009
0.47044334975369456,-0.07661757813463572,1,0.001,1,Training1009
0.5369458128078818,0.031100053314377242,2,0.001,1,Training1009
0.5246305418719212,0,3,0.001,1,Training1009
0.5246305418719212,0.0015290909554269794,1,0.01,1,Training1009
0.4211822660098522,-0.16299763524220492,2,0.01,1,Training1009
0.5566502463054187,0.07608283395281805,3,0.01,1,Training1009
0.5517241379310345,0.06817322000554871,1,0.1,1,Training1009
0.5369458128078818,0.030607838654779278,2,0.1,1,Training1009
0.5443349753694581,0.06344297862789584,3,0.1,1,Training1009
