Accuracy,Kappa,C,sigma,Resample
0.5573770491803278,0.07558465855940125,0.5,0.01,Training1008
0.5300546448087432,0,1,0.01,Training1008
0.5300546448087432,0,0.001,0.001,Training1009
0.5683060109289617,0.0984097287184284,0.1,0.001,Training1009
0.5355191256830601,0.021205638056883965,0.25,0.001,Training1009
0.5437158469945356,0.04146410312705842,0.5,0.001,Training1009
0.4672131147540984,-0.08626830233478436,1,0.001,Training1009
0.4344262295081967,-0.1341277207269243,0.001,0.002,Training1009
0.5300546448087432,0,0.1,0.002,Training1009
0.5300546448087432,0,0.25,0.002,Training1009
0.5300546448087432,0,0.5,0.002,Training1009
0.5273224043715847,-0.0033594269958480295,1,0.002,Training1009
0.5710382513661202,0.10809300592928302,0.001,0.005,Training1009
0.5382513661202186,0.024600246002460035,0.1,0.005,Training1009
0.5300546448087432,0,0.25,0.005,Training1009
0.5601092896174863,0.07844609177066701,0.5,0.005,Training1009
0.5409836065573771,0.030035335689045792,1,0.005,Training1009
0.5573770491803278,0.07621837217998235,0.001,0.01,Training1009
0.5300546448087432,0,0.1,0.01,Training1009
0.546448087431694,0.04091684031066512,0.25,0.01,Training1009
0.5300546448087432,6.984570448916033e-4,0.5,0.01,Training1009
0.5519125683060109,0.05640445199019043,1,0.01,Training1009
0.5327868852459017,0,0.001,0.001,Training1010
0.546448087431694,0.0362615399257639,0.1,0.001,Training1010
0.5546448087431693,0.06118402417146622,0.25,0.001,Training1010
0.5327868852459017,0.0030583962534645546,0.5,0.001,Training1010
0.5683060109289617,0.09374706158909243,1,0.001,Training1010
0.5437158469945356,0.03008664191183478,0.001,0.002,Training1010
0.5409836065573771,0.026873041496534016,0.1,0.002,Training1010
0.4808743169398907,-0.07444145730972465,0.25,0.002,Training1010
0.546448087431694,0.042096301201400115,0.5,0.002,Training1010
0.5491803278688525,0.04678473340278449,1,0.002,Training1010
0.5327868852459017,0,0.001,0.005,Training1010
0.5546448087431693,0.05976359338061455,0.1,0.005,Training1010
0.5327868852459017,7.663569307406021e-4,0.25,0.005,Training1010
0.5327868852459017,0,0.5,0.005,Training1010
0.5573770491803278,0.08253644044192737,1,0.005,Training1010
0.42896174863387976,-0.1327410039982231,0.001,0.01,Training1010
0.5491803278688525,0.04170237075121402,0.1,0.01,Training1010
0.5327868852459017,0.00153154015506866,0.25,0.01,Training1010
0.5628415300546448,0.07741752528594381,0.5,0.01,Training1010
0.5409836065573771,0.025392296718972883,1,0.01,Training1010
0.5355191256830601,0,0.001,0.001,Training1011
0.5355191256830601,0.0016686990565434646,0.1,0.001,Training1011
0.5491803278688525,0.04261390659183866,0.25,0.001,Training1011
0.5628415300546448,0.0758159207120761,0.5,0.001,Training1011
0.5355191256830601,8.350462487151945e-4,1,0.001,Training1011
0.5437158469945356,0.025385081481009108,0.001,0.002,Training1011
0.5355191256830601,0,0.1,0.002,Training1011
0.5491803278688525,0.043402502772057754,0.25,0.002,Training1011
0.546448087431694,0.035619047619047765,0.5,0.002,Training1011
0.5737704918032787,0.10406728596535272,1,0.002,Training1011
0.546448087431694,0.03242451267677403,0.001,0.005,Training1011
0.5355191256830601,8.350462487151945e-4,0.1,0.005,Training1011
0.5081967213114754,-0.043131293938818226,0.25,0.005,Training1011
0.5655737704918032,0.08272122568645367,0.5,0.005,Training1011
0.5409836065573771,0.01587708066581296,1,0.005,Training1011
0.5382513661202186,0.01043099862413215,0.001,0.01,Training1011
0.5655737704918032,0.08121506836338366,0.1,0.01,Training1011
0.5655737704918032,0.0789465354056533,0.25,0.01,Training1011
0.5327868852459017,-0.004622941346431854,0.5,0.01,Training1011
0.5409836065573771,0.018328118015198944,1,0.01,Training1011
0.5355191256830601,0,0.001,0.001,Training1012
0.5355191256830601,0.0033318382776959072,0.1,0.001,Training1012
0.5901639344262295,0.15031263542376022,0.25,0.001,Training1012
0.5355191256830601,0,0.5,0.001,Training1012
0.42896174863387976,-0.14207650273224048,1,0.001,Training1012
0.546448087431694,0.02920874344880495,0.001,0.002,Training1012
0.5628415300546448,0.07429655390452086,0.1,0.002,Training1012
0.5491803278688525,0.03785488958990534,0.25,0.002,Training1012
0.5355191256830601,0,0.5,0.002,Training1012
0.5491803278688525,0.0394464768570065,1,0.002,Training1012
0.5355191256830601,8.350462487151945e-4,0.001,0.005,Training1012
0.42349726775956287,-0.14060792248840584,0.1,0.005,Training1012
0.5437158469945356,0.0286068465719463,0.25,0.005,Training1012
0.5737704918032787,0.10406728596535272,0.5,0.005,Training1012
0.5355191256830601,0,1,0.005,Training1012
0.5655737704918032,0.08497122551023596,0.001,0.01,Training1012
0.5519125683060109,0.04249617151607955,0.1,0.01,Training1012
0.5519125683060109,0.0417012580624559,0.25,0.01,Training1012
0.42349726775956287,-0.1611186287776275,0.5,0.01,Training1012
0.546448087431694,0.03242451267677403,1,0.01,Training1012
0.5355191256830601,0,0.001,0.001,Training1013
0.5355191256830601,0,0.1,0.001,Training1013
0.5437158469945356,0.023766171538093038,0.25,0.001,Training1013
0.5355191256830601,0,0.5,0.001,Training1013
0.5409836065573771,0.0166954519286128,1,0.001,Training1013
0.5355191256830601,0,0.001,0.002,Training1013
0.4726775956284153,-0.08757505773672064,0.1,0.002,Training1013
0.5355191256830601,8.350462487151945e-4,0.25,0.002,Training1013
0.5437158469945356,0.022954698040218876,0.5,0.002,Training1013
0.5655737704918032,0.09532692845816602,1,0.002,Training1013
0.5327868852459017,-0.005462198374192786,0.001,0.005,Training1013
0.546448087431694,0.035619047619047765,0.1,0.005,Training1013
0.4781420765027322,-0.07458419159467537,0.25,0.005,Training1013
0.5409836065573771,0.0166954519286128,0.5,0.005,Training1013
0.5355191256830601,0.0016686990565434646,1,0.005,Training1013
0.5355191256830601,0,0.001,0.01,Training1013
0.5218579234972678,-0.01876888818196287,0.1,0.01,Training1013
0.5601092896174863,0.06659274512909857,0.25,0.01,Training1013
0.5655737704918032,0.09312762973352025,0.5,0.01,Training1013
0.5573770491803278,0.05730094123632657,1,0.01,Training1013
0.5355191256830601,0,0.001,0.001,Training1014
0.5573770491803278,0.06118183545506348,0.1,0.001,Training1014
0.5382513661202186,0.017785117667608808,0.25,0.001,Training1014
0.546448087431694,0.036414388124088086,0.5,0.001,Training1014
0.4972677595628415,-0.05760412086186327,1,0.001,Training1014
0.5327868852459017,-0.005462198374192786,0.001,0.002,Training1014
0.5355191256830601,0.0016686990565434646,0.1,0.002,Training1014
0.5355191256830601,0.0041613316261202415,0.25,0.002,Training1014
0.5683060109289617,0.095533033033033,0.5,0.002,Training1014
0.5601092896174863,0.06812790587342242,1,0.002,Training1014
0.46174863387978143,-0.0934817555885832,0.001,0.005,Training1014
0.5355191256830601,0.0033318382776959072,0.1,0.005,Training1014
0.5355191256830601,0,0.25,0.005,Training1014
0.5710382513661202,0.11315862579868478,0.5,0.005,Training1014
0.49453551912568305,-0.05175681133306412,1,0.005,Training1014
0.5846994535519126,0.1305869850596986,0.001,0.01,Training1014
0.5327868852459017,-0.005462198374192786,0.1,0.01,Training1014
0.546448087431694,0.03322512889058624,0.25,0.01,Training1014
0.5683060109289617,0.0851158081255537,0.5,0.01,Training1014
0.5601092896174863,0.06428049671292892,1,0.01,Training1014
0.5327868852459017,-0.005462198374192786,0.001,0.001,Training1015
0.5792349726775956,0.11555360281195078,0.1,0.001,Training1015
0.5601092896174863,0.06965802519814318,0.25,0.001,Training1015
0.5710382513661202,0.10089187920513203,0.5,0.001,Training1015
0.5355191256830601,0,1,0.001,Training1015
0.5491803278688525,0.03625801921419678,0.001,0.002,Training1015
0.5300546448087432,-0.009234320892650912,0.1,0.002,Training1015
0.5355191256830601,0.0033318382776959072,0.25,0.002,Training1015
0.5683060109289617,0.08960957178841306,0.5,0.002,Training1015
0.5409836065573771,0.023193747219927577,1,0.002,Training1015
0.5546448087431693,0.05655185501470715,0.001,0.005,Training1015
0.5846994535519126,0.1263270305923738,0.1,0.005,Training1015
0.5355191256830601,0,0.25,0.005,Training1015
0.5355191256830601,0,0.5,0.005,Training1015
0.5710382513661202,0.09795610812847301,1,0.005,Training1015
0.5437158469945356,0.02699863096564664,0.001,0.01,Training1015
0.5710382513661202,0.09500110246637458,0.1,0.01,Training1015
0.4453551912568306,-0.1223601921508204,0.25,0.01,Training1015
0.41530054644808745,-0.1617324236131712,0.5,0.01,Training1015
0.5737704918032787,0.09965939195155794,1,0.01,Training1015
0.5355191256830601,0,0.001,0.001,Training1016
0.5355191256830601,0.0016686990565434646,0.1,0.001,Training1016
0.4644808743169399,-0.08836023789294808,0.25,0.001,Training1016
0.5355191256830601,0,0.5,0.001,Training1016
0.5491803278688525,0.03545759463344523,1,0.001,Training1016
0.546448087431694,0.0267828538476325,0.001,0.002,Training1016
0.5327868852459017,-0.004622941346431854,0.1,0.002,Training1016
0.546448087431694,0.035619047619047765,0.25,0.002,Training1016
0.5355191256830601,0.0016686990565434646,0.5,0.002,Training1016
0.5355191256830601,0,1,0.002,Training1016
0.5437158469945356,0.022954698040218876,0.001,0.005,Training1016
0.5355191256830601,0.0033318382776959072,0.1,0.005,Training1016
0.5355191256830601,0,0.25,0.005,Training1016
0.5491803278688525,0.043402502772057754,0.5,0.005,Training1016
0.5355191256830601,0.0016686990565434646,1,0.005,Training1016
0.5683060109289617,0.08736822170317515,0.001,0.01,Training1016
0.45081967213114754,-0.11568443082896054,0.1,0.01,Training1016
0.5573770491803278,0.06040821501014192,0.25,0.01,Training1016
0.5765027322404371,0.11162266278304982,0.5,0.01,Training1016
0.5546448087431693,0.053438263573763085,1,0.01,Training1016
0.5327868852459017,0,0.001,0.001,Training1017
0.5327868852459017,7.663569307406021e-4,0.1,0.001,Training1017
0.5300546448087432,-0.0023884589662749468,0.25,0.001,Training1017
0.5327868852459017,0,0.5,0.001,Training1017
0.5327868852459017,0,1,0.001,Training1017
0.5327868852459017,0,0.001,0.002,Training1017
0.5327868852459017,0,0.1,0.002,Training1017
0.5327868852459017,0,0.25,0.002,Training1017
0.5382513661202186,0.016222922034545475,0.5,0.002,Training1017
0.5327868852459017,7.663569307406021e-4,1,0.002,Training1017
0.546448087431694,0.039187778726634495,0.001,0.005,Training1017
0.5355191256830601,0.009267220789146869,0.1,0.005,Training1017
0.4207650273224044,-0.15268740529458968,0.25,0.005,Training1017
0.5491803278688525,0.04750638781111007,0.5,0.005,Training1017
0.5327868852459017,0,1,0.005,Training1017
0.5519125683060109,0.05292057180725146,0.001,0.01,Training1017
0.5710382513661202,0.10049779280548508,0.1,0.01,Training1017
0.5792349726775956,0.12065899092015352,0.25,0.01,Training1017
0.5710382513661202,0.09982141178682194,0.5,0.01,Training1017
0.5546448087431693,0.056909797970217134,1,0.01,Training1017
0.5355191256830601,0,0.001,0.001,Training1018
0.4207650273224044,-0.1616264446972873,0.1,0.001,Training1018
0.4808743169398907,-0.06006097560975609,0.25,0.001,Training1018
0.5327868852459017,-0.004622941346431854,0.5,0.001,Training1018
0.5355191256830601,0.0025009619084264377,1,0.001,Training1018
0.5519125683060109,0.040905023648216715,0.001,0.002,Training1018
0.5355191256830601,0,0.1,0.002,Training1018
0.546448087431694,0.034024421266853365,0.25,0.002,Training1018
0.5546448087431693,0.05655185501470715,0.5,0.002,Training1018
0.5355191256830601,0,1,0.002,Training1018
0.5655737704918032,0.08196876478939875,0.001,0.005,Training1018
0.5683060109289617,0.08811656364324456,0.1,0.005,Training1018
0.5382513661202186,0.009607070804111776,0.25,0.005,Training1018
0.4781420765027322,-0.07630484988452674,0.5,0.005,Training1018
0.5382513661202186,0.008781769815070097,1,0.005,Training1018
0.5737704918032787,0.11059879120194392,0.001,0.01,Training1018
0.5218579234972678,-0.022150585681912575,0.1,0.01,Training1018
0.5519125683060109,0.044873018903952455,0.25,0.01,Training1018
0.5355191256830601,0,0.5,0.01,Training1018
0.5601092896174863,0.06428049671292892,1,0.01,Training1018
0.5355191256830601,0,0.001,0.001,Training1019
0.5355191256830601,0.0041613316261202415,0.1,0.001,Training1019
0.5409836065573771,0.023193747219927577,0.25,0.001,Training1019
0.5355191256830601,0,0.5,0.001,Training1019
0.4344262295081967,-0.132906660286509,1,0.001,Training1019
0.5573770491803278,0.061954183014808185,0.001,0.002,Training1019
0.5355191256830601,0,0.1,0.002,Training1019
0.5819672131147541,0.12093811811246098,0.25,0.002,Training1019
0.5601092896174863,0.08246395316246748,0.5,0.002,Training1019
0.5355191256830601,0,1,0.002,Training1019
0.5355191256830601,0,0.001,0.005,Training1019
0.46994535519125685,-0.0806647997077805,0.1,0.005,Training1019
0.5355191256830601,0,0.25,0.005,Training1019
0.4918032786885246,-0.05786921929388361,0.5,0.005,Training1019
0.5628415300546448,0.07429655390452086,1,0.005,Training1019
0.5355191256830601,0.0041613316261202415,0.001,0.01,Training1019
0.5382513661202186,0.00795509222133138,0.1,0.01,Training1019
0.5437158469945356,0.02699863096564664,0.25,0.01,Training1019
0.5683060109289617,0.08661865049279753,0.5,0.01,Training1019
0.5327868852459017,-0.005462198374192786,1,0.01,Training1019
0.5355191256830601,-0.005462008338450541,0.001,0.001,Training1020
0.5382513661202186,0.001807442791208101,0.1,0.001,Training1020
0.5382513661202186,0,0.25,0.001,Training1020
0.5409836065573771,0.006366956465531244,0.5,0.001,Training1020
0.546448087431694,0.02525268730948195,1,0.001,Training1020
0.5792349726775956,0.1124618146316882,0.001,0.002,Training1020
0.5,-0.056068872000252346,0.1,0.002,Training1020
0.5136612021857924,-0.04333621600845599,0.25,0.002,Training1020
0.5273224043715847,-0.01722199016804301,0.5,0.002,Training1020
0.5382513661202186,0,1,0.002,Training1020
0.5382513661202186,0,0.001,0.005,Training1020
0.5683060109289617,0.0853762692563185,0.1,0.005,Training1020
0.42896174863387976,-0.113676731793961,0.25,0.005,Training1020
0.5382513661202186,9.045388467131e-4,0.5,0.005,Training1020
0.5601092896174863,0.06344766203630109,1,0.005,Training1020
0.546448087431694,0.02437614413720015,0.001,0.01,Training1020
0.5382513661202186,0,0.1,0.01,Training1020
0.5382513661202186,0,0.25,0.01,Training1020
0.5163934426229508,-0.03330462245190931,0.5,0.01,Training1020
0.5355191256830601,-0.005462008338450541,1,0.01,Training1020
0.5409836065573771,0,0.001,0.001,Training1021
0.5683060109289617,0.0982410179640718,0.1,0.001,Training1021
0.5081967213114754,-0.053945095027836565,0.25,0.001,Training1021
0.505464480874317,-0.04327695360483807,0.5,0.001,Training1021
0.5409836065573771,0,1,0.001,Training1021
0.5409836065573771,0,0.001,0.002,Training1021
0.5409836065573771,0.004855311711011822,0.1,0.002,Training1021
0.546448087431694,0.027094542659492772,0.25,0.002,Training1021
0.5409836065573771,0,0.5,0.002,Training1021
0.5409836065573771,9.748488984206431e-4,1,0.002,Training1021
0.5409836065573771,0,0.001,0.005,Training1021
0.5382513661202186,-0.004482120237747166,0.1,0.005,Training1021
0.5765027322404371,0.10149196997054045,0.25,0.005,Training1021
0.5819672131147541,0.1255504544176894,0.5,0.005,Training1021
0.5546448087431693,0.045135887832516854,1,0.005,Training1021
0.5491803278688525,0.03249062770354718,0.001,0.01,Training1021
0.5191256830601093,-0.022670984949514136,0.1,0.01,Training1021
0.5409836065573771,0,0.25,0.01,Training1021
0.4726775956284153,-0.09079959232836102,0.5,0.01,Training1021
0.5382513661202186,0.002322655569534355,1,0.01,Training1021
0.5409836065573771,0,0.001,0.001,Training1022
0.5819672131147541,0.12718600953895065,0.1,0.001,Training1022
0.5683060109289617,0.08016797098682944,0.25,0.001,Training1022
0.5409836065573771,0,0.5,0.001,Training1022
0.5409836065573771,9.748488984206431e-4,1,0.001,Training1022
0.5382513661202186,-0.004482120237747166,0.001,0.002,Training1022
0.43989071038251365,-0.067617177495091,0.1,0.002,Training1022
0.4453551912568306,-0.1223601921508204,0.25,0.002,Training1022
0.5409836065573771,0.00678426051560405,0.5,0.002,Training1022
0.5519125683060109,0.03230798994002692,1,0.002,Training1022
0.5573770491803278,0.05417304747320054,0.001,0.005,Training1022
0.5710382513661202,0.08816528610873073,0.1,0.005,Training1022
0.5710382513661202,0.08989831797016032,0.25,0.005,Training1022
0.546448087431694,0.02615887670705899,0.5,0.005,Training1022
0.5409836065573771,0,1,0.005,Training1022
0.5218579234972678,-0.027133647647455093,0.001,0.01,Training1022
0.5737704918032787,0.09698234959195273,0.1,0.01,Training1022
0.5409836065573771,9.748488984206431e-4,0.25,0.01,Training1022
0.5409836065573771,0,0.5,0.01,Training1022
0.5382513661202186,3.878599825463564e-4,1,0.01,Training1022
0.5382513661202186,0,0.001,0.001,Training1023
0.5437158469945356,0.01982103338785743,0.1,0.001,Training1023
0.41530054644808745,-0.16842199480860467,0.25,0.001,Training1023
0.5491803278688525,0.03416178869590241,0.5,0.001,Training1023
0.5409836065573771,0.019674117534517487,1,0.001,Training1023
0.546448087431694,0.0270010569808782,0.001,0.002,Training1023
0.5355191256830601,-0.0036455140820081,0.1,0.002,Training1023
0.546448087431694,0.032208735544298955,0.25,0.002,Training1023
0.5355191256830601,-0.0036455140820081,0.5,0.002,Training1023
0.5710382513661202,0.11583320510847812,1,0.002,Training1023
0.546448087431694,0.02261831987387818,0.001,0.005,Training1023
0.5601092896174863,0.07252809519312481,0.1,0.005,Training1023
0.546448087431694,0.029611883085769133,0.25,0.005,Training1023
0.5382513661202186,0,0.5,0.005,Training1023
0.5655737704918032,0.08080871900173732,1,0.005,Training1023
