DataTimestamp;CornClose;CornHigh;CornLow;CornOpen;CornVolume;SoybeanClose;SoybeanHigh;SoybeanLow;SoybeanOpen;SoybeanVolume;WheatClose;WheatHigh;WheatLow;WheatOpen;WheatVolume;SP500Close;SP500High;SP500Low;SP500Open;SP500Volume;EURUSDClose;EURUSDHigh;EURUSDLow;EURUSDOpen;EURUSDVolume;BrentClose;BrentHigh;BrentLow;BrentOpen;BrentVolume;CornReturnsT;CornReturnsT1;CornReturnsT2;CornTP;CornVRR;CornRSI;CornMexp;SoybeanReturnsT;SoybeanReturnsT1;SoybeanReturnsT2;SoybeanTP;SoybeanVRR;SoybeanRSI;SoybeanMexp;WheatReturnsT;WheatReturnsT1;WheatReturnsT2;WheatTP;WheatVRR;WheatRSI;WheatMexp;BrentReturnsT;BrentReturnsT1;BrentReturnsT2;BrentTP;SP500VRR;SP500RSI;BrentMexp;SP500ReturnsT;SP500ReturnsT1;SP500ReturnsT2;SP500TP;EURUSDVRR;EURUSDRSI;SP500Mexp;EURUSDReturnsT;EURUSDReturnsT1;EURUSDReturnsT2;EURUSDTP;BrentVRR;BrentRSI;EURUSDMexp;ClassNextDay
29/01/2010;250,25;252;246,75;247,5;112634;305,5;320,5;304;311;84217;968,5;977,5;966,75;969,75;57026;914,75;915;896,5;899;1896011;1,393;1,3938;1,3852;1,3866;0;111,04;111,6;109,1;109,5;277411;0,010040245;-0,020969316;0,013930574;249,6666667;0,143550061;24,06542056;275,775;-0,013815742;-0,055722535;0,0084324;310;0,436270739;18,50170261;373,575;0,000774693;-0,013343796;0,003319293;970,9166667;0,498128112;30,56768559;1013,5;0,013965948;-0,006825965;-0,000272072;110,58;0,412798586;36,56792646;115;0,017367769;-0,009685976;-0,016660224;908,75;0,278434248;43,43163539;946,525;0,004893504;-0,00776089;-0,003786665;1,390666667;0,5;35,81227437;1,42457;1
01/02/2010;256,25;258,5;250;250,25;146992;321,25;325,75;301;307;91665;981;986,25;968;968;65546;925,75;930;910,5;914,5;2104398;1,3963;1,3974;1,3886;1,3929;0;113,84;114,02;111,01;111,55;366269;0,023693112;0,010040245;-0,020969316;254,9166667;0,299298728;25,4587156;273,1;0,050269858;-0,013815742;-0,055722535;316;0,544380416;20,75055188;366,95;0,012823977;0,000774693;-0,013343796;978,4166667;0,657612968;29,01785714;1009,975;0,024903457;0,013965948;-0,006825965;112,9566667;0,832853516;38,60603065;114,7695;0,011953416;0,017367769;-0,009685976;922,0833333;0,369651022;41,22562674;944,95;0,002366186;0,004893504;-0,00776089;1,3941;0,5;33,1075997;1,422325;-1
02/02/2010;244,25;259,5;244;256,25;171750;303,75;329,75;303,75;322,25;81861;962,75;988,5;962;981,25;61505;925;928,75;919;925,5;1883815;1,3894;1,4025;1,3886;1,3965;0;113,59;114,65;113,13;113,6;391294;-0,04796124;0,023693112;0,010040245;249,25;0,404898666;22,77432712;269,8125;-0,056014642;0,050269858;-0,013815742;312,4166667;0,40207278;18,25726141;359,3;-0,018778687;0,012823977;0,000774693;971,0833333;0,581969975;26,85950413;1005,775;-0,00219848;0,024903457;0,013965948;113,79;0,951153215;37,33926805;114,5135;-0,000810482;0,011953416;0,017367769;924,25;0,27309572;39,88684583;943,1625;-0,004953882;0,002366186;0,004893504;1,3935;0,5;32,59259259;1,419975;1
03/02/2010;245,25;250,25;240,25;247;163425;309,75;311,75;295,75;307;92907;969,5;975,75;960,25;964,75;50470;890,25;926,75;887,75;924,75;3302110;1,3723;1,3902;1,3722;1,389;0;109,75;113,78;109,03;113,7;523892;0,004085808;-0,04796124;0,023693112;245,25;0,366735277;21,47368421;266,425;0,019560526;-0,056014642;0,050269858;305,75;0,562408372;20,40816327;352,05;0,006986702;-0,018778687;0,012823977;968,5;0,375407136;23,70689655;1001,2;-0,034390422;-0,00219848;0,024903457;110,8533333;1;27,10816777;113,995;-0,038291415;-0,000810482;0,011953416;901,5833333;0,889279326;33,09608541;939,6;-0,012383835;-0,004953882;0,002366186;1,378233333;0,5;26,76151762;1,416545;-1
04/02/2010;242,75;246,75;238,75;245,5;164659;309,25;317,25;304,75;309,75;104735;967;970,25;960,75;968,75;55763;888,25;893,5;869,25;890,25;3983950;1,3677;1,3746;1,3584;1,3724;0;107,8;110,55;106,11;109,65;596142;-0,010245991;0,004085808;-0,04796124;242,75;0,372392168;21,79487179;263,125;-0,001615509;0,019560526;-0,056014642;310,4166667;0,734094901;23,52941176;346,425;-0,002581979;0,006986702;-0,018778687;966;0,474486167;24,7005988;996,975;-0,017927393;-0,034390422;-0,00219848;108,1533333;1;25,49833887;113,405;-0,002249087;-0,038291415;-0,000810482;883,6666667;1;31,33253301;935,7125;-0,003357667;-0,012383835;-0,004953882;1,3669;0,5;27,81690141;1,413395;1
05/02/2010;247,25;253,25;244,75;245,25;148576;325,25;335,5;314,5;315,5;95026;977,75;982,75;970;973,25;55118;884,5;897;881,5;888,25;2061320;1,3649;1,3712;1,3621;1,3653;0;108,5;109;107,38;108,79;345638;0,018367863;-0,010245991;0,004085808;248,4166667;0,298664625;21,12068966;259,775;0,050444106;-0,001615509;0,019560526;325,0833333;0,593166214;29,3986637;341,8;0,011055518;-0,002581979;0,006986702;976,8333333;0,462412489;24,7005988;992,75;0,006472515;-0,017927393;-0,034390422;108,2933333;0,383077128;27,33900365;112,8455;-0,004230721;-0,002249087;-0,038291415;887,6666667;0,268466593;29,44711538;931,4375;-0,002049331;-0,003357667;-0,012383835;1,366066667;0,5;21,76820208;1,409595;1
08/02/2010;249,75;254,75;246;247;196600;320,25;339,75;315,75;325,25;120623;976;982,25;970,5;976,75;63813;894,75;905,5;882,5;884;3014475;1,3796;1,3839;1,3643;1,3648;0;110,36;110,76;107,93;108,29;429845;0,010060447;0,018367863;-0,010245991;250,1666667;0,518815812;22,88135593;256,575;-0,015492177;0,050444106;-0,001615509;325,25;0,964713396;30,27522936;337,5;-0,001791427;0,011055518;-0,002581979;976,25;0,62517315;22,61001517;988,2375;0,016997576;0,006472515;-0,017927393;109,6833333;0,590455949;32,71276596;112,3905;0,011521836;-0,004230721;-0,002249087;894,25;0,631128532;32,45109321;927,625;0,010712436;-0,002049331;-0,003357667;1,375933333;0,5;24,24460432;1,406015;1
09/02/2010;253;256,75;246,5;250;169470;333,25;335,5;314,5;319,75;116039;990,5;996,75;974,5;977,25;87561;891,75;901;884,75;895;2204772;1,3736;1,3812;1,3676;1,3793;0;111,13;111,58;109,21;110,4;422057;0,012929071;0,010060447;0,018367863;252,0833333;0,394446711;33,15068493;255,0375;0,039791018;-0,015492177;0,050444106;327,75;0,931028257;39,79848866;335,475;0,01474728;-0,001791427;0,011055518;987,25;1;36,31578947;986,2875;0,006952938;0,016997576;0,006472515;110,64;0,571276234;36,9873817;112,0605;-0,003358525;0,011521836;-0,004230721;892,5;0,323048041;33,29397875;924,0875;-0,004358571;0,010712436;-0,002049331;1,374133333;0,5;23,64912281;1,40226;1
10/02/2010;254,75;256;250,5;253;78191;338,75;346,25;331,75;333,75;108012;987,25;995,25;980,25;991,5;54328;905;906,5;886;892;2262497;1,3692;1,3801;1,3595;1,3737;0;111,89;112,3;109,99;111,26;464441;0,006893183;0,012929071;0,010060447;253,75;0;37,86982249;254,0125;0,016369413;0,039791018;-0,015492177;338,9166667;0,810252475;36,93931398;333;-0,003286566;0,01474728;-0,001791427;987,5833333;0,418454485;34,94809689;984,1125;0,006815559;0,006952938;0,016997576;111,3933333;0,67565644;40,59247398;111,8255;0,014749119;-0,003358525;0,011521836;899,1666667;0,345011584;35,05747126;920,8375;-0,003208403;-0,004358571;0,010712436;1,3696;0,5;21,71507607;1,39817;-1
11/02/2010;253;255,5;248,75;254,75;45883;340,75;342;322;338,25;45257;980;987,5;973,75;987,25;25999;907,5;908,25;888,5;904,75;2747993;1,3631;1,3694;1,3531;1,3691;0;110,74;111,96;109,27;111,91;335805;-0,006893183;0,006893183;0,012929071;252,4166667;0;38,43843844;253,05;0,005886698;0,016369413;0,039791018;334,9166667;0;39,3442623;331,05;-0,007370729;-0,003286566;0,01474728;980,4166667;0;35,43859649;982,0375;-0,010331134;0,006815559;0,006952938;110,6566667;0,358861137;39,1959799;111,546;0,002758622;0,014749119;-0,003358525;901,4166667;0,411486881;34,68208092;917,525;-0,00446511;-0,003208403;-0,004358571;1,361866667;0,5;20,98930481;1,39383;1
